scenario,case,case_label,year,inv_bn,depreciation_bn,opening_rab_bn,closing_rab_bn,wacc_times_rab_bn,opex_bn,total_cost_bn,demand_twh,system_avg_ct_per_kwh,system_avg_eur_per_mwh,system_avg_eur_per_kwh
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2027,22.1498,7.0470,234.9005,250.0032,11.8390,17.1800,36.0660,568.5220,6.3438,63.4382,0.0634
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2028,28.8910,7.5001,250.0032,271.3941,12.6002,17.7300,37.8303,587.7830,6.4361,64.3609,0.0644
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2029,28.8910,8.1418,271.3941,292.1433,14.9267,18.2700,41.3385,607.0440,6.8098,68.0980,0.0681
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2030,32.7431,8.7643,292.1433,316.1221,16.0679,18.8200,43.6522,626.3049,6.9698,69.6980,0.0697
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2031,29.9144,9.4837,316.1221,336.5529,17.3867,19.3600,46.2304,647.2369,7.1427,71.4273,0.0714
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2032,29.9144,10.0966,336.5529,356.3707,18.5104,19.9100,48.5170,668.1688,7.2612,72.6119,0.0726
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2033,29.9144,10.6911,356.3707,375.5940,19.6004,20.4500,50.7415,689.1007,7.3634,73.6344,0.0736
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2034,29.9144,11.2678,375.5940,394.2407,20.6577,21.0000,52.9255,710.0326,7.4540,74.5395,0.0745
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2035,29.9144,11.8272,394.2407,412.3279,21.6832,21.5500,55.0605,730.9645,7.5326,75.3258,0.0753
65%,A_demand_scaled,Case A — Excel method: Inv × (end-use_s / end-use_Build),2036,29.9144,12.3698,412.3279,429.8725,22.6780,22.0900,57.1379,751.8964,7.5992,75.9917,0.0760
