,,2030,2030,2040,2040,2050,2050
,,min,max,min,max,min,max
country,carrier,,,,,,
PL,onwind,18400.0,28750.0,24000.0,37500.0,29600.0,46250.0
PL,solar-all,28800.0,46800.0,52800.0,85800.0,76800.0,124800.0
PT,hydro,6458.76,,6612.26,,6765.76,
PT,offwind-all,186.14,290.84,293.91,459.24,408.51,638.3
PT,onwind,12213.33,19083.33,17405.63,27196.3,21431.1,33486.1
PT,solar-all,15539.84,25252.24,22135.36,35969.96,28532.41,46365.17
RO,hydro,5939.83,,6077.62,,6215.41,
RO,offwind-all,,,,,69.86,109.15
RO,onwind,14400.02,22500.03,24285.84,37946.62,31158.08,48684.5
RO,solar-all,13817.1,22452.79,18567.4,30172.02,32957.08,53555.26
SE,hydro,12955.29,,13433.93,,13912.57,
SE,offwind-all,715.18,1117.47,2783.26,4348.85,6487.34,10136.48
SE,onwind,22082.36,34503.69,27858.64,43529.12,32997.06,51557.9
SE,solar-all,12805.29,20808.6,16450.49,26732.05,23151.03,37620.42
SI,hydro,1082.12,,1088.94,,1095.75,
SI,offwind-all,,,,,36.68,57.31
SI,onwind,196.26,306.66,345.99,540.61,402.58,629.04
SI,solar-all,2862.35,4651.32,5526.43,8980.45,6654.19,10813.06
SK,hydro,2713.06,,2777.59,,2842.12,
SK,onwind,430.55,672.74,410.06,640.71,508.94,795.21
SK,solar-all,1315.36,2137.46,1356.9,2204.96,1818.28,2954.7
