,,2030,2030,2040,2040,2050,2050
,,min,max,min,max,min,max
country,carrier,,,,,,
AT,onwind,4549.236,5365.236,,,,
AT,solar-all,13460.704,31140.704,,,,
BE,offwind-all,,3431.800,,,,
BE,onwind,3291.750,3631.750,,,,
BE,solar-all,11463.100,15543.100,,,,
BG,onwind,772.085,1248.085,,,,
BG,solar-all,5013.184,11133.184,,,,
CH,solar-all,7389.920,17929.920,,,,
CZ,onwind,1398.900,2078.900,,,,
CZ,solar-all,4964.281,11764.281,,,,
DE,offwind-all,9334.000,13414.000,,,,
DE,onwind,66703.000,89823.000,,,,
DE,solar-all,109374.000,205254.000,,,,
DK,offwind-all,3189.700,4549.700,,,,
DK,onwind,5181.118,6541.118,,,,
DK,solar-all,5737.000,11177.000,,,,
EE,onwind,628.000,1240.000,,,,
EE,solar-all,1192.000,2552.000,,,,
ES,onwind,32959.764,40439.764,,,,
ES,solar-all,45060.274,104220.274,,,,
FI,onwind,9181.000,14621.000,,,,
FI,solar-all,1309.000,4029.000,,,,
FR,offwind-all,991.000,,,,,
FR,onwind,25185.575,36745.575,,,,
FR,solar-all,27931.293,59211.293,,,,
GB,offwind-all,15327.000,,,,,
GB,onwind,15635.000,21075.000,,,,
GB,solar-all,16731.000,27611.000,,,,
GR,onwind,6088.330,8468.330,,,,
GR,solar-all,10230.083,21110.083,,,,
HR,onwind,1398.900,2078.900,,,,
HR,solar-all,810.700,2850.700,,,,
HU,onwind,366.000,638.000,,,,
HU,solar-all,8023.000,18903.000,,,,
IE,onwind,4981.731,6341.731,,,,
IE,solar-all,1238.076,4638.076,,,,
IT,onwind,13454.508,18214.508,,,,
IT,solar-all,35491.318,70851.318,,,,
LT,onwind,2261.000,5661.000,,,,
LT,solar-all,2152.000,4872.000,,,,
LU,solar-all,646.634,1326.634,,,,
LV,onwind,192.233,736.233,,,,
LV,solar-all,793.000,2153.000,,,,
NL,offwind-all,5736.000,12536.000,,,,
NL,onwind,7693.000,9733.000,,,,
NL,solar-all,28975.000,52095.000,,,,
NO,solar-all,894.792,2730.792,,,,
PL,onwind,10512.235,14592.235,,,,
PL,solar-all,24375.392,55655.392,,,,
PT,onwind,5747.140,6767.140,,,,
PT,solar-all,5355.256,12155.256,,,,
RO,onwind,3338.202,,,,,
RO,solar-all,3725.020,15285.020,,,,
SE,onwind,19059.000,25859.000,,,,
SE,solar-all,7388.000,12148.000,,,,
SI,solar-all,2150.164,4190.164,,,,
SK,solar-all,873.000,2913.000,,,,
