,,2020,2020,2020,2025,2025,2025,2030,2030,2030,2035,2035,2035,2040,2040,2040,2045,2045,2045,2050,2050,2050
,,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice
CZ,bus,0.000727,0.000000,0.999273,0.004364,0.000000,0.995636,0.008000,0.000000,0.992000,0.112750,0.050000,0.837250,0.217500,0.100000,0.682500,0.300750,0.150000,0.549250,0.384000,0.200000,0.416000
DE,passenger,0.030724,0.000818,0.968457,0.175362,0.004909,0.819729,0.320000,0.009000,0.671000,0.554000,0.007500,0.438500,0.788000,0.006000,0.206000,0.876000,0.006500,0.117500,0.964000,0.007000,0.029000
DE,truck,0.008911,0.000000,0.991089,0.053465,0.000000,0.946535,0.098020,0.000000,0.901980,0.379510,0.054000,0.566490,0.661000,0.108000,0.231000,0.744361,0.124792,0.130847,0.827723,0.141584,0.030693
DE,van,0.008911,0.000000,0.991089,0.053465,0.000000,0.946535,0.098020,0.000000,0.901980,0.379510,0.054000,0.566490,0.661000,0.108000,0.231000,0.744361,0.124792,0.130847,0.827723,0.141584,0.030693
DE,bus,0.008911,0.000000,0.991089,0.053465,0.000000,0.946535,0.098020,0.000000,0.901980,0.379510,0.054000,0.566490,0.661000,0.108000,0.231000,0.744361,0.124792,0.130847,0.827723,0.141584,0.030693
DK,passenger,0.004198,0.000000,0.995802,0.004199,0.000000,0.995801,0.004200,0.000000,0.995800,0.342100,0.000000,0.657900,0.680000,0.000000,0.320000,0.798500,0.000000,0.201500,0.917000,0.000000,0.083000
DK,truck,0.037310,0.000000,0.962690,0.223860,0.000000,0.776140,0.410410,0.000000,0.589590,0.546114,0.040909,0.412977,0.681818,0.081818,0.236364,0.770909,0.085909,0.143182,0.860000,0.090000,0.050000
DK,van,0.037310,0.000000,0.962690,0.223860,0.000000,0.776140,0.410410,0.000000,0.589590,0.546114,0.040909,0.412977,0.681818,0.081818,0.236364,0.770909,0.085909,0.143182,0.860000,0.090000,0.050000
DK,bus,0.037310,0.000000,0.962690,0.223860,0.000000,0.776140,0.410410,0.000000,0.589590,0.546114,0.040909,0.412977,0.681818,0.081818,0.236364,0.770909,0.085909,0.143182,0.860000,0.090000,0.050000
EE,passenger,0.011386,0.002727,0.985887,0.057343,0.016364,0.926293,0.103300,0.030000,0.866700,0.221650,0.020000,0.758350,0.340000,0.010000,0.650000,0.532500,0.042500,0.425000,0.725000,0.075000,0.200000
EE,truck,0.000682,0.003636,0.995682,0.004091,0.021818,0.974091,0.007500,0.040000,0.952500,0.076250,0.087500,0.836250,0.145000,0.135000,0.720000,0.252500,0.247500,0.500000,0.360000,0.360000,0.280000
EE,van,0.000682,0.003636,0.995682,0.004091,0.021818,0.974091,0.007500,0.040000,0.952500,0.076250,0.087500,0.836250,0.145000,0.135000,0.720000,0.252500,0.247500,0.500000,0.360000,0.360000,0.280000
EE,bus,0.000682,0.003636,0.995682,0.004091,0.021818,0.974091,0.007500,0.040000,0.952500,0.076250,0.087500,0.836250,0.145000,0.135000,0.720000,0.252500,0.247500,0.500000,0.360000,0.360000,0.280000
ES,passenger,0.012175,0.004727,0.983098,0.068587,0.028364,0.903049,0.125000,0.052000,0.823000,0.202500,0.056000,0.741500,0.280000,0.060000,0.660000,0.365000,0.100000,0.535000,0.450000,0.140000,0.410000
ES,truck,0.013636,0.004727,0.981636,0.081818,0.028364,0.889818,0.150000,0.052000,0.798000,0.240000,0.056000,0.704000,0.330000,0.060000,0.610000,0.420000,0.100000,0.480000,0.510000,0.140000,0.350000
